"","logFC","logCPM","LR","PValue","FDR"
"Bra007164",-4.61269439708123,5.03255637074584,279.609495043089,9.1346969079345e-63,1.43492356526338e-60
"Bra014509",-8.81762146368341,2.72792299359943,278.603942033774,1.5129480796896e-62,2.36118143813376e-60
"Bra019299",3.31557098065138,5.02854223830534,277.734223361419,2.3407507327659e-62,3.62952278137391e-60
"Bra022475",-9.38692339790427,4.95819840130874,277.646112233865,2.4465644988731e-62,3.76927763884078e-60
"Bra012153",4.01948695226199,6.46360068548049,277.447016505058,2.70361236344157e-62,4.13876557598438e-60
"Bra006386",-6.20239020207182,3.14861419130797,277.144517821867,3.14678001332213e-62,4.78669055950532e-60
"Bra029717",3.98736266377089,4.82851465776921,276.552701350858,4.23485550045267e-62,6.40129038351444e-60
"Bra030307",2.71539346722509,5.0478788324925,275.665570969226,6.60950955089405e-62,9.92830953413672e-60
"Bra016721",-4.17483374226358,5.22586553496392,275.262914372043,8.08947155546158e-62,1.20759229418611e-59
"Bra004432",-4.37252249288731,4.4304639310458,273.144242765098,2.34233847381295e-61,3.4750470913346e-59
"Bra028811",-8.69324766085293,2.60113933796726,271.813887751855,4.56651758089578e-61,6.73323211897234e-59
"Bra027791",4.51523828622637,4.51360247218053,269.828434930832,1.23680477920105e-60,1.81252232093402e-58
"Bra001964",-8.73144027009544,2.66421056089893,269.167307810831,1.72342307996867e-60,2.51034850327072e-58
"Bra032343",4.97280104948058,7.13158214899142,268.278117002615,2.69271577816142e-60,3.89859825375491e-58
"Bra013286",5.72781519781275,3.49558596663541,268.144809228862,2.87902255849853e-60,4.14337893239243e-58
"Bra012554",7.58426843932309,2.98513825197642,267.479625568793,4.01997408656919e-60,5.75095578551214e-58
"Bra015110",-5.53091147334167,3.03151106925959,262.738608007562,4.3408700190659e-59,6.17328225078283e-57
"Bra101333",8.61423579212143,3.95143057911391,262.698483380631,4.4291730686647e-59,6.26180856072279e-57
"Bra013043",-9.09872772221138,3.03381678033852,262.08703532332,6.02003667985059e-59,8.43717957341522e-57
"Bra016218",-8.79334254131581,2.74611964163029,262.081068686884,6.03809139813355e-59,8.43717957341522e-57
"Bra025877",-5.52114291476754,3.96879531092482,261.718183677905,7.24432261636841e-59,1.00641647261155e-56
"Bra014622",-5.71885430105628,4.07333131508424,260.293889952566,1.4806598043154e-58,2.04518262855841e-56
"Bra032823",-3.39886280173082,4.11521581633137,259.820610865111,1.87766771699286e-58,2.57873519486894e-56
"Bra021487",-8.87959725554016,2.81807436098978,259.115008826449,2.67561932412658e-58,3.65374061568513e-56
"Bra004775",6.03249605212598,3.20569397638383,258.84743499932,3.06020058645212e-58,4.15530287541188e-56
"Bra014162",5.49129604479463,4.94591219924408,258.808869874347,3.12001235595711e-58,4.21271780691422e-56
"Bra015147",-7.33225865631581,3.02768226444536,258.401570528355,3.82771550719364e-58,5.13940304468671e-56
"Bra001676",6.77148866422223,6.31614773762387,258.165605365077,4.30899223994892e-58,5.75346219416291e-56
"Bra035313",-5.8159971907217,3.85332982296994,258.092097027096,4.47094381750503e-58,5.93672175192905e-56
"Bra034506",9.12073581139703,3.18498402620921,257.71447191242,5.40399569989391e-58,7.1362435522665e-56
"Bra101055",6.46034348495137,3.32273446989199,257.436043624386,6.21452398342502e-58,8.16046396025534e-56
