"","logFC","logCPM","LR","PValue","FDR"
"Bra038567",-2.55430140039855,2.60182179793318,16.921224644882,3.89634755928231e-05,0.00478549174992891
"Bra019265",-3.95841863792572,2.63153894188596,16.9191217319074,3.90066632915048e-05,0.00478549174992891
"Bra032747",-2.62019095527156,2.92837808167134,16.9181698104335,3.90262288002857e-05,0.00478549174992891
"Bra003670",-2.45895038086006,6.01266906048285,16.8291287436725,4.09006622308851e-05,0.00498988079216798
"Bra037877",3.79561701931496,4.28890136426247,16.7989220874487,4.15569016337062e-05,0.00504433623163886
"Bra001921",-3.05399454798831,7.2657461351172,16.7754341443964,4.20744841651066e-05,0.0050814982533878
"Bra035015",1.91987490733,4.22831117843274,16.7637117276311,4.23352198234739e-05,0.00508742336618686
"Bra019398",2.9412625016859,2.00320258963509,16.7395967968419,4.28767151387641e-05,0.00512686055544804
"Bra038899",2.56924040917267,3.75648892652966,16.6723111954872,4.44247042408837e-05,0.00528566010755148
"Bra035778",2.39665126185663,4.56571889671501,16.6607037617871,4.46973749896484e-05,0.00529190497783847
"Bra029414",-1.86651162575117,6.22562654969029,16.6326629650537,4.53630453426631e-05,0.00534438937139982
"Bra029039",-4.6232751156176,2.24364432458072,16.58433835948,4.65337167902111e-05,0.00545556755773626
"Bra006985",-2.03668209192205,7.12616177728405,16.393942552755,5.14493872443087e-05,0.00600259501470735
"Bra011349",6.51960709321807,2.98705418428911,16.3711256149361,5.207248685159e-05,0.00604594274874935
"Bra026022",-4.45632455086953,0.884121468799016,16.3548484151239,5.25216274798648e-05,0.0060687730521686
"Bra015704",-1.55070250776151,4.0999810223183,16.3338644657411,5.31063956635329e-05,0.00610698140371938
"Bra037731",3.6574290440841,6.91303120751435,16.2382210649341,5.58557769359427e-05,0.00639256068037355
"Bra020799",2.11058956475437,2.90296398351048,16.1749461370447,5.77529267512681e-05,0.00657835943857809
"Bra035641",-2.29353613116718,3.7257203476422,16.163009333123,5.8118024093873e-05,0.00658871976920823
"Bra024935",2.32975208150616,3.59126438046388,16.1074609870433,5.98477910706167e-05,0.00675296624690705
"Bra023130",-1.71964521801824,3.58369342705154,16.0850566978578,6.05600257955707e-05,0.00680140028023714
"Bra001642",1.57135919922434,7.08603101196529,16.0592571674023,6.13907630224498e-05,0.00686263069061191
"Bra010085",-2.20780024137493,2.69171205257711,15.9429192154351,6.52815205355083e-05,0.00724776815459819
"Bra004946",-2.43261624497821,3.42178153904217,15.9383527733489,6.54391982003748e-05,0.00724776815459819
"Bra025359",2.3676850993776,8.10386015996191,15.9180763791978,6.61439748532492e-05,0.00729222152120638
"Bra034030",-2.88329588637552,3.54537384946395,15.8820961790314,6.7413439751319e-05,0.00739824023280001
"Bra008371",-1.92611709182887,2.80761569582089,15.8570341674118,6.83121390859891e-05,0.00746279068542119
"Bra009840",2.33115348070763,4.3732685320346,15.8373194988787,6.90275488585825e-05,0.00750682402383336
"Bra013657",-3.09894140876298,2.01797649231946,15.7963952271465,7.05367690782004e-05,0.00763639958570031
"Bra015694",-1.77378726699684,3.31053283539775,15.6438037423712,7.6462698819237e-05,0.00824082736960332
"Bra005735",-1.48268535492253,7.77329484554155,15.5445498737074,8.05836231919043e-05,0.00864619107050995
"Bra022827",2.27254215163628,7.35107578453991,15.4897176614334,8.2955285332867e-05,0.00886109923417833
"Bra018209",-1.43622584397049,4.05896485417696,15.4798559178533,8.33892285766812e-05,0.00886803858235379
"Bra024459",-5.82357903411494,2.47726022725813,15.4180880442586,8.61596191044152e-05,0.00907960668485318
"Bra016498",2.21160156059615,4.06798510499932,15.3944768559484,8.72429225807836e-05,0.00907960668485318
"Bra028150",1.58200699937143,5.45612533090027,15.3899999755278,8.74498664995912e-05,0.00907960668485318
"Bra038785",-2.41908908978573,3.43565453353819,15.3872799741131,8.75758397692915e-05,0.00907960668485318
"Bra023802",3.29247499476945,1.49014693635093,15.3832746893031,8.77616717106313e-05,0.00907960668485318
"Bra006293",5.63448392855677,1.83753754128918,15.382669704121,8.77897754887251e-05,0.00907960668485318
